N,topology,strategy_names,V,C,gamma,gamma_label,noise_p,status,advantage,q_is_nash,symmetric,q_payoff_per_player,classical_ne_payoff,advantage_vector,q_payoff_vector,strategy_mode,strategy_params,strategy_nash_gap,strategy_is_nash,message
6,fully-connected,"D,H,Q",4.0,3.0,0.0,0π,0.0,ok,0.5,False,True,0.6666666666666666,0.16666666666666666,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",fixed,,,,
6,fully-connected,"D,H,Q",4.0,3.0,0.3141592653589793,0.1π,0.0,ok,0.4950335170563792,False,True,0.6617001837230458,0.16666666666666666,"[0.4950335170563793, 0.4950335170563792, 0.4950335170563793, 0.4950335170563793, 0.4950335170563793, 0.49503351705637944]","[0.661700183723046, 0.6617001837230458, 0.661700183723046, 0.661700183723046, 0.661700183723046, 0.6617001837230461]",fixed,,,,
6,fully-connected,"D,H,Q",4.0,3.0,0.6283185307179586,0.2π,0.0,ok,0.4354065242148505,False,True,0.6020731908815167,0.1666666666666662,"[0.4354065242148505, 0.4354065242148506, 0.4354065242148505, 0.4354065242148507, 0.4354065242148505, 0.4354065242148504]","[0.6020731908815167, 0.6020731908815168, 0.6020731908815167, 0.6020731908815169, 0.6020731908815167, 0.6020731908815166]",fixed,,,,
6,fully-connected,"D,H,Q",4.0,3.0,0.9424777960769379,0.3π,0.0,ok,0.2917438480684207,False,True,0.45841051473508737,0.16666666666666666,"[0.2917438480684207, 0.2917438480684207, 0.2917438480684208, 0.2917438480684207, 0.2917438480684207, 0.2917438480684207]","[0.45841051473508737, 0.4584105147350873, 0.4584105147350874, 0.45841051473508737, 0.4584105147350873, 0.45841051473508737]",fixed,,,,
6,fully-connected,"D,H,Q",4.0,3.0,1.2566370614359172,0.4π,0.0,ok,0.49877687559400297,False,True,0.6654435422606696,0.16666666666666666,"[0.49877687559400297, 0.4987768755940031, 0.49877687559400286, 0.49877687559400274, 0.49877687559400274, 0.49877687559400297]","[0.6654435422606696, 0.6654435422606697, 0.6654435422606695, 0.6654435422606694, 0.6654435422606694, 0.6654435422606696]",fixed,,,,
6,fully-connected,"D,H,Q",4.0,3.0,1.5707963267948966,0.5π,0.0,ok,0.5,False,True,0.6666666666666666,0.16666666666666666,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",fixed,,,,
6,ghz,"D,H,Q",4.0,3.0,0.0,0π,0.0,ok,0.5,False,True,0.6666666666666666,0.16666666666666666,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",fixed,,,,
6,ghz,"D,H,Q",4.0,3.0,0.3141592653589793,0.1π,0.0,ok,0.5,False,True,0.6666666666666666,0.16666666666666666,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",fixed,,,,
6,ghz,"D,H,Q",4.0,3.0,0.6283185307179586,0.2π,0.0,ok,0.5,False,True,0.6666666666666666,0.16666666666666663,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",fixed,,,,
6,ghz,"D,H,Q",4.0,3.0,0.9424777960769379,0.3π,0.0,ok,0.5,False,True,0.6666666666666666,0.16666666666666666,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",fixed,,,,
6,ghz,"D,H,Q",4.0,3.0,1.2566370614359172,0.4π,0.0,ok,0.5,False,True,0.6666666666666666,0.16666666666666666,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",fixed,,,,
6,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,0.5π,0.0,ok,0.5,False,True,0.6666666666666666,0.16666666666666666,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]",fixed,,,,
