N,topology,strategy_names,V,C,gamma,gamma_label,status,advantage,q_is_nash,symmetric,q_payoff_per_player,classical_ne_payoff,message
2,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,ok,1.5,True,True,2.0,0.5,
2,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,ok,1.5,True,True,2.0,0.5,
2,star,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,ok,1.5,True,True,2.0,0.5,
2,fully-connected,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,ok,1.5,True,True,2.0,0.5,
2,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,ok,0.7500000000000004,False,True,1.9999999999999996,1.2499999999999991,
3,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,ok,1.0,True,True,1.3333333333333333,0.3333333333333333,
3,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,ok,1.0,True,True,1.3333333333333333,0.3333333333333333,
3,star,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,ok,1.0000000000000007,False,True,1.333333333333334,0.3333333333333333,
3,fully-connected,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,ok,1.0,True,True,1.3333333333333333,0.3333333333333333,
3,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,ok,0.4999999999999999,False,True,1.3333333333333333,0.8333333333333334,
4,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,ok,0.75,False,True,1.0,0.25,
4,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,ok,0.0,False,True,0.25,0.25,
4,star,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,ok,0.75,False,False,1.0,0.25,
4,fully-connected,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,ok,0.7499999999999996,False,True,0.9999999999999996,0.25,
4,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,ok,0.3750000000000002,False,True,1.0,0.6249999999999998,
5,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,ok,0.5999999999999999,False,True,0.7999999999999998,0.2,
5,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,ok,0.6000000000000001,False,True,0.8000000000000002,0.2,
5,star,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,ok,0.6000000000000001,False,False,0.8,0.2,
5,fully-connected,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,ok,0.5999999999999999,False,True,0.7999999999999998,0.19999999999999996,
5,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,ok,0.3,False,True,0.7999999999999998,0.49999999999999983,
6,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,ok,0.49999999999999956,False,True,0.6666666666666662,0.16666666666666666,
6,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,ok,0.5000000000000002,False,True,0.6666666666666669,0.16666666666666666,
6,star,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,ok,0.4633789062499999,False,False,0.6300455729166665,0.16666666666666663,
6,fully-connected,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,ok,0.49999999999999967,False,True,0.6666666666666662,0.16666666666666655,
6,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,ok,0.25000000000000006,False,True,0.6666666666666666,0.4166666666666666,
