N,topology,strategy_names,V,C,gamma,gamma_label,noise_p,status,advantage,q_is_nash,symmetric,q_payoff_per_player,classical_ne_payoff,advantage_vector,q_payoff_vector,strategy_mode,strategy_params,strategy_nash_gap,strategy_is_nash,message
2,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,1.5,True,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,1.5,True,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,star,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,1.5,True,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,fully-connected,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,1.5,True,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,0.7500000000000004,False,True,2.0000000000000004,1.25,"[0.7500000000000004, 0.7500000000000004]","[2.0000000000000004, 2.0000000000000004]",fixed,,,,
3,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,1.0,True,True,1.3333333333333333,0.3333333333333333,"[1.0, 1.0, 1.0]","[1.3333333333333333, 1.3333333333333333, 1.3333333333333333]",fixed,,,,
3,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,1.0000000000000007,True,True,1.333333333333334,0.3333333333333333,"[1.0000000000000007, 1.0000000000000007, 1.0000000000000007]","[1.333333333333334, 1.333333333333334, 1.333333333333334]",fixed,,,,
3,star,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,1.0000000000000016,False,True,1.3333333333333348,0.3333333333333333,"[1.0000000000000016, 1.0000000000000018, 1.0000000000000016]","[1.3333333333333348, 1.333333333333335, 1.3333333333333348]",fixed,,,,
3,fully-connected,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,1.0000000000000007,True,True,1.333333333333334,0.3333333333333333,"[1.0000000000000007, 1.0000000000000007, 1.0000000000000007]","[1.333333333333334, 1.333333333333334, 1.333333333333334]",fixed,,,,
3,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,0.5000000000000003,False,True,1.333333333333334,0.8333333333333336,"[0.5000000000000003, 0.5000000000000002, 0.4999999999999998]","[1.333333333333334, 1.333333333333334, 1.3333333333333335]",fixed,,,,
4,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,0.75,False,True,1.0,0.25,"[0.75, 0.75, 0.75, 0.75]","[1.0, 1.0, 1.0, 1.0]",fixed,,,,
4,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,0.0,False,True,0.25,0.25,"[0.0, 0.0, 0.0, 0.0]","[0.25, 0.25, 0.25, 0.25]",fixed,,,,
4,star,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,0.7500000000000009,False,False,1.0000000000000009,0.25,"[2.220446049250313e-16, 1.000000000000001, 1.000000000000001, 1.000000000000001]","[0.2500000000000002, 1.250000000000001, 1.250000000000001, 1.250000000000001]",fixed,,,,
4,fully-connected,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,0.75,False,True,1.0,0.25,"[0.75, 0.75, 0.75, 0.75]","[1.0, 1.0, 1.0, 1.0]",fixed,,,,
4,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,0.37500000000000033,False,True,1.0000000000000004,0.6250000000000001,"[0.37500000000000033, 0.37500000000000033, 0.37500000000000033, 0.37500000000000033]","[1.0000000000000004, 1.0000000000000004, 1.0000000000000004, 1.0000000000000004]",fixed,,,,
5,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,0.6000000000000001,False,True,0.8,0.2,"[0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001, 0.6000000000000001]","[0.8, 0.8, 0.8, 0.8, 0.8]",fixed,,,,
5,ring,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,0.600000000000001,False,True,0.8000000000000009,0.2,"[0.600000000000001, 0.6000000000000008, 0.600000000000001, 0.600000000000001, 0.600000000000001]","[0.800000000000001, 0.8000000000000008, 0.8000000000000009, 0.8000000000000009, 0.8000000000000009]",fixed,,,,
