N,topology,strategy_names,V,C,gamma,gamma_label,noise_p,status,advantage,q_is_nash,symmetric,q_payoff_per_player,classical_ne_payoff,advantage_vector,q_payoff_vector,strategy_mode,strategy_params,strategy_nash_gap,strategy_is_nash,message
2,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,1.5,True,True,2.0,0.5,"[1.5, 1.5]","[2.0, 2.0]",fixed,,,,
2,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.005,ok,1.3983451791231079,True,True,1.9745862947807762,0.5762411156576683,"[1.3983451791231079, 1.3983451791231079]","[1.9745862947807762, 1.9745862947807762]",fixed,,,,
2,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.01,ok,1.3031187191534732,True,True,1.9507796797883736,0.6476609606349004,"[1.303118719153473, 1.3031187191534734]","[1.9507796797883734, 1.9507796797883739]",fixed,,,,
2,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.015,ok,1.213943533475291,True,True,1.928485883368824,0.714542349893533,"[1.2139435334752906, 1.2139435334752915]","[1.9284858833688239, 1.9284858833688243]",fixed,,,,
2,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.02,ok,1.1304629122123566,True,True,1.907615728053095,0.7771528158407384,"[1.1304629122123566, 1.1304629122123568]","[1.907615728053095, 1.9076157280530952]",fixed,,,,
2,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.025,ok,1.0523395162521918,True,True,1.8880848790630496,0.8357453628108578,"[1.0523395162521916, 1.0523395162521918]","[1.8880848790630496, 1.8880848790630496]",fixed,,,,
2,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.03,ok,0.9792544161909176,True,True,1.8698136040477367,0.8905591878568191,"[0.9792544161909174, 0.9792544161909179]","[1.8698136040477364, 1.8698136040477369]",fixed,,,,
2,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.035,ok,0.9109061744066625,True,True,1.8527265436016689,0.9418203691950063,"[0.9109061744066624, 0.9109061744066627]","[1.8527265436016689, 1.8527265436016689]",fixed,,,,
2,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.04,ok,0.8470099685326747,True,True,1.8367524921331762,0.9897425236005014,"[0.8470099685326746, 0.8470099685326746]","[1.8367524921331762, 1.836752492133176]",fixed,,,,
2,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.045,ok,0.7872967546617602,True,True,1.8218241886654432,1.034527434003683,"[0.78729675466176, 0.78729675466176]","[1.821824188665443, 1.8218241886654432]",fixed,,,,
2,ghz,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.05,ok,0.731512468673295,True,True,1.807878117168323,1.076365648495028,"[0.731512468673295, 0.731512468673295]","[1.807878117168323, 1.807878117168323]",fixed,,,,
2,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.0,ok,0.7500000000000004,False,True,2.0000000000000004,1.25,"[0.7500000000000004, 0.7500000000000004]","[2.0000000000000004, 2.0000000000000004]",fixed,,,,
2,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.005,ok,0.6526269815910626,False,False,1.9525140354553467,1.2998870538642842,"[0.6526269815910617, 0.6526269815910635]","[1.9503630074199287, 1.9546650634907647]",fixed,,,,
2,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.01,ok,0.5675330427081893,False,False,1.910813657928538,1.3432806152203487,"[0.5675330427081884, 0.5675330427081904]","[1.907114689069603, 1.9145126267874732]",fixed,,,,
2,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.015,ok,0.49321559435830387,False,False,1.874222250706108,1.381006656347804,"[0.4932155943583032, 0.49321559435830453]","[1.8694549541165597, 1.8789895472956561]",fixed,,,,
2,w,"D,H,Q",4.0,3.0,1.5707963267948966,pi/2,0.02,ok,0.4283503053931661,False,False,1.8421389406027295,1.4137886352095634,"[0.42835030539316565, 0.42835030539316676]","[1.8366813140984521, 1.847596567107007]",fixed,,,,
